STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"2026 January Voter Registration - January 02, 2026",,,,,,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,No Labels,,Arizona ,,Republican,,Other,,,Total
,,,,,,,,,,,,,,,,,,,,
Apache,44,,Jul-25,,,"27,009",,,49,225,299,,*,,"12,175",,"14,142",,,"53,899"
,44,,Oct-25,,,"26,930",,,50,224,321,,*,,"12,128",,"14,172",,,"53,825"
,44,,Jan-26,,,"26,868",,,51,240,*,,367,,"12,298",,"14,350",,,"54,174"
,,,,,,,,,,,,,,,,,,,,
Cochise,55,,Jul-25,,,"18,873",,,93,676,755,,*,,"33,442",,"28,924",,,"82,763"
,55,,Oct-25,,,"18,896",,,97,683,806,,*,,"33,689",,"29,338",,,"83,509"
,55,,Jan-26,,,"18,255",,,91,668,*,,828,,"32,848",,"28,543",,,"81,233"
,,,,,,,,,,,,,,,,,,,,
Coconino,75,,Jul-25,,,"35,666",,,217,772,862,,*,,"24,479",,"30,569",,,"92,565"
,75,,Oct-25,,,"34,334",,,213,755,857,,*,,"23,694",,"29,385",,,"89,238"
,56,,Jan-26,,,"33,434",,,210,750,*,,904,,"23,413",,"28,953",,,"87,664"
,,,,,,,,,,,,,,,,,,,,
Gila,39,,Jul-25,,,"7,918",,,33,221,241,,*,,"17,325",,"9,590",,,"35,328"
,39,,Oct-25,,,"7,844",,,34,228,274,,*,,"17,416",,"9,687",,,"35,483"
,39,,Jan-26,,,"7,721",,,35,235,*,,286,,"17,158",,"9,582",,,"35,017"
,,,,,,,,,,,,,,,,,,,,
Graham,23,,Jul-25,,,"4,420",,,15,135,146,,*,,"11,027",,"5,495",,,"21,238"
,23,,Oct-25,,,"4,388",,,16,134,167,,*,,"11,090",,"5,564",,,"21,359"
,23,,Jan-26,,,"4,360",,,18,131,*,,181,,"11,090",,"5,626",,,"21,406"
,,,,,,,,,,,,,,,,,,,,
Greenlee,6,,Jul-25,,,"1,241",,,3,45,52,,*,,"1,939",,"1,510",,,"4,790"
,6,,Oct-25,,,"1,224",,,3,47,57,,*,,"1,941",,"1,517",,,"4,789"
,6,,Jan-26,,,"1,205",,,3,46,*,,61,,"1,941",,"1,524",,,"4,780"
,,,,,,,,,,,,,,,,,,,,
La Paz,11,,Jul-25,,,"2,064",,,11,78,155,,*,,"5,896",,"4,311",,,"12,515"
,11,,Oct-25,,,"2,055",,,10,77,161,,*,,"5,916",,"4,316",,,"12,535"
,11,,Jan-26,,,"2,014",,,10,75,*,,165,,"5,886",,"4,278",,,"12,428"
,,,,,,,,,,,,,,,,,,,,
Maricopa,906,,Jul-25,,,"744,709",,,"2,888","19,484","25,595",,*,,"938,251",,"927,020",,,"2,657,947"
,906,,Oct-25,,,"744,804",,,"2,997","19,542","27,123",,*,,"940,727",,"941,482",,,"2,676,675"
,956,,Jan-26,,,"706,649",,,"2,873","18,298",*,,"25,874",,"896,064",,"888,733",,,"2,538,491"
,,,,,,,,,,,,,,,,,,,,
Mohave,24,,Jul-25,,,"18,671",,,108,951,"1,092",,*,,"85,385",,"45,960",,,"152,167"
,24,,Oct-25,,,"18,046",,,108,928,"1,153",,*,,"83,732",,"44,598",,,"148,565"
,24,,Jan-26,,,"17,974",,,105,955,*,,"1,221",,"84,400",,"45,092",,,"149,747"
,,,,,,,,,,,,,,,,,,,,
Navajo,21,,Jul-25,,,"23,051",,,35,406,591,,*,,"28,340",,"19,727",,,"72,150"
,21,,Oct-25,,,"22,940",,,40,410,649,,*,,"28,409",,"19,873",,,"72,321"
,21,,Jan-26,,,"22,868",,,41,415,*,,706,,"28,505",,"20,016",,,"72,551"
,,,,,,,,,,,,,,,,,,,,
Pima,265,,Jul-25,,,"247,056",,,"1,163","4,669","5,059",,*,,"191,521",,"229,168",,,"678,636"
,265,,Oct-25,,,"247,221",,,"1,179","4,680","5,442",,*,,"191,977",,"232,069",,,"682,568"
,265,,Jan-26,,,"238,696",,,"1,147","4,538",*,,"5,478",,"187,466",,"225,241",,,"662,566"
,,,,,,,,,,,,,,,,,,,,
Pinal,109,,Jul-25,,,"64,152",,,246,"2,124","2,694",,*,,"112,339",,"101,796",,,"283,351"
,109,,Oct-25,,,"66,269",,,265,"2,182","2,897",,*,,"116,852",,"105,927",,,"294,392"
,136,,Jan-26,,,"65,064",,,264,"2,126",*,,"2,908",,"114,540",,"103,832",,,"288,734"
,,,,,,,,,,,,,,,,,,,,
