STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Page: 1,
"2022 General Election - November 08, 2022",,,,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Libertarian,Republican,Other,,Total,,,,,
,,,,,,,,,,,,,,,,,,
Apache,44,,APR 2022,,,"27,985",,,209,"10,454","13,487",,"52,135",,,,,
,44,,P.E. 2022,,,"27,867",,,217,"10,638","13,828",,"52,550",,,,,
,44,,G.E. 2022,,,"27,625",,,219,"10,666","13,471",,"51,981",,,,,
,,,,,,,,,,,,,,,,,,
Cochise,55,,APR 2022,,,"20,770",,,705,"31,736","28,121",,"81,332",,,,,
,55,,P.E. 2022,,,"19,225",,,619,"29,692","25,844",,"75,380",,,,,
,55,,G.E. 2022,,,"19,423",,,642,"30,370","26,959",,"77,394",,,,,
,,,,,,,,,,,,,,,,,,
Coconino,75,,APR 2022,,,"38,125",,,852,"23,952","29,735",,"92,664",,,,,
,75,,P.E. 2022,,,"37,926",,,828,"24,038","30,196",,"92,988",,,,,
,75,,G.E. 2022,,,"36,569",,,785,"23,170","30,305",,"90,829",,,,,
,,,,,,,,,,,,,,,,,,
Gila,39,,APR 2022,,,"8,985",,,201,"16,546","9,706",,"35,438",,,,,
,39,,P.E. 2022,,,"8,380",,,181,"15,583","8,883",,"33,027",,,,,
,39,,G.E. 2022,,,"8,431",,,200,"16,125","9,193",,"33,949",,,,,
,,,,,,,,,,,,,,,,,,
Graham,22,,APR 2022,,,"4,925",,,117,"10,138","5,271",,"20,451",,,,,
,22,,P.E. 2022,,,"4,619",,,106,"9,647","4,881",,"19,253",,,,,
,22,,G.E. 2022,,,"4,542",,,109,"9,810","5,026",,"19,487",,,,,
,,,,,,,,,,,,,,,,,,
Greenlee,8,,APR 2022,,,"1,557",,,49,"1,759","1,504",,"4,869",,,,,
,8,,P.E. 2022,,,"1,468",,,44,"1,695","1,425",,"4,632",,,,,
,8,,G.E. 2022,,,"1,452",,,46,"1,728","1,443",,"4,669",,,,,
,,,,,,,,,,,,,,,,,,
La Paz,11,,APR 2022,,,"2,203",,,69,"5,110","3,863",,"11,245",,,,,
,11,,P.E. 2022,,,"2,130",,,67,"5,043","3,819",,"11,059",,,,,
,11,,G.E. 2022,,,"2,150",,,65,"5,161","3,935",,"11,311",,,,,
,,,,,,,,,,,,,,,,,,
Maricopa,906,,APR 2022,,,"787,971",,,"22,315","888,426","894,088",,"2,592,800",,,,,
,906,,P.E. 2022,,,"750,414",,,"20,493","848,534","854,636",,"2,474,077",,,,,
,906,,G.E. 2022,,,"731,792",,,"19,829","841,142","842,634",,"2,435,397",,,,,
,,,,,,,,,,,,,,,,,,
Mohave,24,,APR 2022,,,"21,244",,,934,"75,301","47,627",,"145,106",,,,,
,24,,P.E. 2022,,,"21,086",,,948,"76,759","48,550",,"147,343",,,,,
,24,,G.E. 2022,,,"20,603",,,946,"76,986","48,384",,"146,919",,,,,
,,,,,,,,,,,,,,,,,,
Navajo,14,,APR 2022,,,"25,159",,,435,"25,587","19,754",,"70,935",,,,,
,14,,P.E. 2022,,,"23,837",,,397,"24,367","18,646",,"67,247",,,,,
,14,,G.E. 2022,,,"24,144",,,417,"25,417","19,062",,"69,040",,,,,
,,,,,,,,,,,,,,,,,,
Pima,278,,APR 2022,,,"249,268",,,"4,776","177,415","198,722",,"630,181",,,,,
,278,,P.E. 2022,,,"246,530",,,"4,685","175,878","199,227",,"626,320",,,,,
,278,,G.E. 2022,,,"250,018",,,"4,755","178,320","206,792",,"639,885",,,,,
,,,,,,,,,,,,,,,,,,
Pinal,109,,APR 2022,,,"64,911",,,"1,967","96,060","92,239",,"255,177",,,,,
,109,,P.E. 2022,,,"68,894",,,"2,145","102,704","101,352",,"275,095",,,,,
,109,,G.E. 2022,,,"65,357",,,"2,032","99,667","95,638",,"262,694",,,,,
,,,,,,,,,,,,,,,,,,
Santa Cruz,24,,APR 2022,,,"14,939",,,163,"5,125","10,472",,"30,699",,,,,
,24,,P.E. 2022,,,"14,550",,,157,"4,983","10,315",,"30,005",,,,,
,24,,G.E. 2022,,,"14,022",,,149,"4,897","10,121",,"29,189",,,,,
,,,,,,,,,,,,,,,,,,
Yavapai,48,,APR 2022,,,"33,040",,,"1,304","79,843","50,236",,"164,423",,,,,
,48,,P.E. 2022,,,"31,965",,,"1,247","79,344","48,835",,"161,391",,,,,
,48,,G.E. 2022,,,"32,326",,,"1,307","81,695","50,724",,"166,052",,,,,
,,,,,,,,,,,,,,,,,,
Yuma,46,,APR 2022,,,"32,919",,,657,"31,329","37,988",,"102,893",,,,,
,46,,P.E. 2022,,,"32,330",,,645,"31,345","39,061",,"103,381",,,,,
,46,,G.E. 2022,,,"32,090",,,647,"31,698","40,698",,"105,133",,,,,
,,,,,,,,,,,,,,,,,,
Totals:,"1,703",,APR 2022,,,"1,334,001",,,"34,753","1,478,781","1,442,813",,"4,290,348",,,,,
,"1,703",,P.E. 2022,,,"1,291,221",,,"32,779","1,440,250","1,409,498",,"4,173,748",,,,,
,"1,703",,G.E. 2022,,,"1,270,544",,,"32,148","1,436,852","1,404,385",,"4,143,929",,,,,
,,,,,,,,,,,,,,,,,,
Percentages:,,,APR 2022,,,31.09,,,0.81,34.47,33.63,,,,,,,
,,,P.E. 2022,,,30.94,,,0.79,34.51,33.77,,,,,,,
,,,G.E. 2022,,,30.66,,,0.78,34.67,33.89,,,,,,,
,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,
District,,,,Precincts,Democratic,,,Libertarian,,Republican,,Other,,Total,,,,
,,,,,,,,,,,,,,,,,,
Congressional District 1,,,,,,,,,,,,,,,,,,
Maricopa,,,,206,"143,369",,,"4,002",,"191,483",,"166,389",,"505,243",,,,
Total:,,,,206,"143,369",,,"4,002",,"191,483",,"166,389",,"505,243",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 2,,,,,,,,,,,,,,,,,,
Apache,,,,44,"27,625",,,219,,"10,666",,"13,471",,"51,981",,,,
Coconino,,,,75,"36,569",,,785,,"23,170",,"30,305",,"90,829",,,,
Gila,,,,39,"8,431",,,200,,"16,125",,"9,193",,"33,949",,,,
Graham,,,,2,"1,267",,,5,,169,,609,,"2,050",,,,
Maricopa,,,,3,616,,,9,,79,,603,,"1,307",,,,
Mohave,,,,2,269,,,4,,105,,362,,740,,,,
Navajo,,,,14,"24,144",,,417,,"25,417",,"19,062",,"69,040",,,,
Pinal,,,,50,"28,834",,,782,,"37,035",,"39,540",,"106,191",,,,
Yavapai,,,,48,"32,326",,,"1,307",,"81,695",,"50,724",,"166,052",,,,
Total:,,,,277,"160,081",,,"3,728",,"194,461",,"163,869",,"522,139",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 3,,,,,,,,,,,,,,,,,,
Maricopa,,,,123,"147,745",,,"2,266",,"43,962",,"119,808",,"313,781",,,,
Total:,,,,123,"147,745",,,"2,266",,"43,962",,"119,808",,"313,781",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 4,,,,,,,,,,,,,,,,,,
Maricopa,,,,146,"133,780",,,"3,988",,"135,884",,"150,315",,"423,967",,,,
Total:,,,,146,"133,780",,,"3,988",,"135,884",,"150,315",,"423,967",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 5,,,,,,,,,,,,,,,,,,
Maricopa,,,,120,"92,929",,,"3,313",,"167,712",,"132,190",,"396,144",,,,
Pinal,,,,30,"20,467",,,927,,"43,108",,"36,318",,"100,820",,,,
Total:,,,,150,"113,396",,,"4,240",,"210,820",,"168,508",,"496,964",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 6,,,,,,,,,,,,,,,,,,
Cochise,,,,43,"11,987",,,565,,"27,377",,"20,741",,"60,670",,,,
Graham,,,,20,"3,275",,,104,,"9,641",,"4,417",,"17,437",,,,
Greenlee,,,,8,"1,452",,,46,,"1,728",,"1,443",,"4,669",,,,
Pima,,,,155,"134,751",,,"2,890",,"129,360",,"120,429",,"387,430",,,,
Pinal,,,,25,"15,110",,,293,,"18,131",,"18,303",,"51,837",,,,
Total:,,,,251,"166,575",,,"3,898",,"186,237",,"165,333",,"522,043",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 7,,,,,,,,,,,,,,,,,,
Cochise,,,,12,"7,436",,,77,,"2,993",,"6,218",,"16,724",,,,
Maricopa,,,,23,"20,844",,,375,,"10,422",,"20,070",,"51,711",,,,
Pima,,,,123,"115,267",,,"1,865",,"48,960",,"86,363",,"252,455",,,,
Pinal,,,,4,946,,,30,,"1,393",,"1,477",,"3,846",,,,
Santa Cruz,,,,24,"14,022",,,149,,"4,897",,"10,121",,"29,189",,,,
Yuma,,,,27,"22,584",,,322,,"11,374",,"24,537",,"58,817",,,,
Total:,,,,213,"181,099",,,"2,818",,"80,039",,"148,786",,"412,742",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 8,,,,,,,,,,,,,,,,,,
Maricopa,,,,173,"120,236",,,"3,614",,"188,293",,"154,109",,"466,252",,,,
Total:,,,,173,"120,236",,,"3,614",,"188,293",,"154,109",,"466,252",,,,
,,,,,,,,,,,,,,,,,,
Congressional District 9,,,,,,,,,,,,,,,,,,
La Paz,,,,11,"2,150",,,65,,"5,161",,"3,935",,"11,311",,,,
Maricopa,,,,112,"72,273",,,"2,262",,"103,307",,"99,150",,"276,992",,,,
Mohave,,,,22,"20,334",,,942,,"76,881",,"48,022",,"146,179",,,,
Yuma,,,,19,"9,506",,,325,,"20,324",,"16,161",,"46,316",,,,
Total:,,,,164,"104,263",,,"3,594",,"205,673",,"167,268",,"480,798",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 1,,,,,,,,,,,,,,,,,,
Coconino,,,,1,769,,,21,,639,,728,,"2,157",,,,
Yavapai,,,,45,"32,179",,,"1,302",,"80,890",,"50,386",,"164,757",,,,
Total:,,,,46,"32,948",,,"1,323",,"81,529",,"51,114",,"166,914",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 2,,,,,,,,,,,,,,,,,,
Maricopa,,,,48,"36,711",,,"1,337",,"45,801",,"46,933",,"130,782",,,,
Total:,,,,48,"36,711",,,"1,337",,"45,801",,"46,933",,"130,782",,,,
,,,,,,,,,,,,,,,,,,
