year,election_date,county,registered_voters,dem_registration,rep_registration,lib_registration,green_registration,other_registration,ballots_cast,turnout_pct,early_voting,election_day,provisional,turnout_source,registration_source
2014,2014-11-04,Apache,46181,26351,7267,148,,12411,42648,92.3,,,,OpenElections,AZ_SOS
2014,2014-11-04,Cochise,68612,18784,25463,431,,23923,,,,,,,AZ_SOS
2014,2014-11-04,Coconino,70719,26055,17863,776,,26020,75468,106.7,,,,OpenElections,AZ_SOS
2014,2014-11-04,Gila,29472,9717,11110,160,,8483,32321,109.7,,,,OpenElections,AZ_SOS
2014,2014-11-04,Graham,17541,5727,7454,58,,4300,,,,,,,AZ_SOS
2014,2014-11-04,Greenlee,4382,2115,1094,22,,1151,3992,91.1,,,,OpenElections,AZ_SOS
2014,2014-11-04,La Paz,9061,2228,3289,39,,3504,7150,78.9,,,,OpenElections,AZ_SOS
2014,2014-11-04,Maricopa,1935729,515376,694850,17205,,708000,,,,,,,AZ_SOS
2014,2014-11-04,Mohave,117597,23072,46633,664,,47214,95512,81.2,,,,OpenElections,AZ_SOS
2014,2014-11-04,Navajo,56725,22979,17523,366,,15849,55886,98.5,,,,OpenElections,AZ_SOS
2014,2014-11-04,Pima,498657,179046,151097,4026,,164431,548866,110.1,,,,OpenElections,AZ_SOS
2014,2014-11-04,Pinal,158340,43310,51801,1114,,62100,,,,,,,AZ_SOS
2014,2014-11-04,Santa Cruz,22669,11385,3661,124,,7499,19348,85.4,,,,OpenElections,AZ_SOS
2014,2014-11-04,Yavapai,123301,24676,53512,944,,44159,,,,,,,AZ_SOS
2014,2014-11-04,Yuma,76977,25596,22096,512,,28767,54608,70.9,,,,OpenElections,AZ_SOS
2016,2016-11-08,Apache,48240,27638,8241,160,53,12148,28492,59.1,1256,14297,128,OpenElections,AZ_SOS
2016,2016-11-08,Cochise,75157,20121,28296,560,147,26033,50601,67.3,14880,34070,1633,OpenElections,AZ_SOS
2016,2016-11-08,Coconino,81461,32404,20490,866,292,27409,,,,,,,AZ_SOS
2016,2016-11-08,Gila,29566,9083,12250,178,34,8021,22953,77.6,5147,16980,826,OpenElections,AZ_SOS
2016,2016-11-08,Graham,17806,5449,7961,77,12,4307,12535,70.4,7779,4587,169,OpenElections,AZ_SOS
2016,2016-11-08,Greenlee,4702,2038,1328,30,2,1304,3376,71.8,2310,918,148,OpenElections,AZ_SOS
2016,2016-11-08,La Paz,8884,2138,3420,34,12,3280,,,,,,,AZ_SOS
2016,2016-11-08,Maricopa,2161716,617685,767484,20654,3697,752196,,,,,,,AZ_SOS
2016,2016-11-08,Mohave,115339,20557,50390,726,141,43525,81114,70.3,51119,26305,3690,OpenElections,AZ_SOS
2016,2016-11-08,Navajo,63943,25196,20789,422,63,17473,4122,6.4,1954,1821,33,OpenElections,AZ_SOS
2016,2016-11-08,Pima,544270,206856,163482,4379,1773,167780,427102,78.5,84833,324025,18244,OpenElections,AZ_SOS
2016,2016-11-08,Pinal,189462,51049,65453,1500,256,71204,13119,6.9,4527,3367,697,OpenElections,AZ_SOS
2016,2016-11-08,Santa Cruz,26276,13352,4206,146,43,8529,1664,6.3,1045,475,124,OpenElections,AZ_SOS
2016,2016-11-08,Yavapai,137390,28624,61907,1096,302,45461,,,,,,,AZ_SOS
2016,2016-11-08,Yuma,84254,29133,23917,530,67,30607,,,,,,,AZ_SOS
2018,2018-11-06,Apache,49800,28223,8960,154,47,12416,25559,51.3,11922,13445,7,OpenElections,AZ_SOS
2018,2018-11-06,Cochise,70854,18963,27590,542,110,23649,45927,64.8,34144,10285,1498,OpenElections,AZ_SOS
2018,2018-11-06,Coconino,83239,33996,21123,794,279,27047,,,,,,,AZ_SOS
2018,2018-11-06,Gila,29773,8693,12881,179,27,7993,20825,69.9,16569,3635,621,OpenElections,AZ_SOS
2018,2018-11-06,Graham,17906,5164,8330,91,11,4310,10786,60.2,7204,3469,113,OpenElections,AZ_SOS
2018,2018-11-06,Greenlee,4535,1857,1369,32,4,1273,2599,57.3,1903,609,87,OpenElections,AZ_SOS
2018,2018-11-06,La Paz,10048,2272,4025,39,13,3699,5164,51.4,2882,1729,553,OpenElections,AZ_SOS
2018,2018-11-06,Maricopa,2254596,666835,796075,20970,3605,767111,,,,,,,AZ_SOS
2018,2018-11-06,Mohave,116346,19660,54932,679,136,40939,72545,62.4,50131,21375,1039,OpenElections,AZ_SOS
2018,2018-11-06,Navajo,63034,24459,21103,387,79,17006,37176,59.0,18602,15154,354,OpenElections,AZ_SOS
2018,2018-11-06,Pima,557532,214319,165240,4360,1485,172128,393352,70.6,312400,64731,16221,OpenElections,AZ_SOS
2018,2018-11-06,Pinal,202079,54115,71998,1581,287,74098,118345,58.6,86910,25376,6059,OpenElections,AZ_SOS
2018,2018-11-06,Santa Cruz,28238,14242,4571,148,48,9229,13668,48.4,9434,3309,925,OpenElections,AZ_SOS
2018,2018-11-06,Yavapai,140724,29003,65421,1057,272,44971,,,,,,,AZ_SOS
2018,2018-11-06,Yuma,87457,29944,24714,570,60,32169,44362,50.7,28467,8975,693,OpenElections,AZ_SOS
2020,2020-11-03,Apache,51906,28531,10241,205,,12929,35776,68.9,24440,10901,435,OpenElections,AZ_SOS
2020,2020-11-03,Cochise,82022,21521,32944,741,,26816,60963,74.3,48865,9435,2663,OpenElections,AZ_SOS
2020,2020-11-03,Coconino,90669,38601,23816,896,,27356,73968,81.6,,,,OpenElections,AZ_SOS
2020,2020-11-03,Gila,34001,8965,16073,208,,8755,28057,82.5,,,,OpenElections,AZ_SOS
2020,2020-11-03,Graham,19851,5118,9799,118,,4816,,,,,,,AZ_SOS
2020,2020-11-03,Greenlee,4866,1684,1764,43,,1375,,,,,,,AZ_SOS
2020,2020-11-03,La Paz,10909,2303,4916,71,,3619,7522,69.0,4533,2189,800,OpenElections,AZ_SOS
2020,2020-11-03,Maricopa,2595272,814343,915227,25025,,840677,2089563,80.5,1915487,167878,6198,OpenElections,AZ_SOS
2020,2020-11-03,Mohave,135180,21648,70310,921,,42301,105440,78.0,,,,OpenElections,AZ_SOS
2020,2020-11-03,Navajo,70650,26448,25084,434,,18684,52490,74.3,31490,15591,248,OpenElections,AZ_SOS
2020,2020-11-03,Pima,638355,257678,185946,5264,,189467,526319,82.4,459777,50323,16219,OpenElections,AZ_SOS
2020,2020-11-03,Pinal,248874,66672,94814,2121,,85267,,,,,,,AZ_SOS
2020,2020-11-03,Santa Cruz,29963,15122,5090,169,,9582,19807,66.1,,,,OpenElections,AZ_SOS
2020,2020-11-03,Yavapai,165361,35535,80521,1400,,47905,144911,87.6,126545,18017,349,OpenElections,AZ_SOS
2020,2020-11-03,Yuma,103273,34155,32233,769,,36116,,,,,,,AZ_SOS
2022,2022-11-08,Apache,51981,27625,10666,219,,13471,27010,52.0,15704,11053,253,OpenElections,AZ_SOS
2022,2022-11-08,Cochise,77394,19423,30370,642,,26959,94543,122.2,70328,23982,233,OpenElections,AZ_SOS
2022,2022-11-08,Coconino,90829,36569,23170,785,,30305,55475,61.1,,,,OpenElections,AZ_SOS
2022,2022-11-08,Gila,33949,8431,16125,200,,9193,22802,67.2,,,,OpenElections,AZ_SOS
2022,2022-11-08,Graham,19487,4542,9810,109,,5026,11006,56.5,6140,3572,98,OpenElections,AZ_SOS
2022,2022-11-08,Greenlee,4669,1452,1728,46,,1443,2487,53.3,,,,OpenElections,AZ_SOS
2022,2022-11-08,La Paz,11311,2150,5161,65,,3935,,,,,,,AZ_SOS
2022,2022-11-08,Maricopa,2435397,731792,841142,19829,,842634,,,,,,,AZ_SOS
2022,2022-11-08,Mohave,146919,20603,76986,946,,48384,82758,56.3,,,,OpenElections,AZ_SOS
2022,2022-11-08,Navajo,69040,24144,25417,417,,19062,40974,59.3,,,,OpenElections,AZ_SOS
2022,2022-11-08,Pima,639885,250018,178320,4755,,206792,403556,63.1,,,,OpenElections,AZ_SOS
2022,2022-11-08,Pinal,262694,65357,99667,2032,,95638,145600,55.4,109341,35627,632,OpenElections,AZ_SOS
2022,2022-11-08,Santa Cruz,29189,14022,4897,149,,10121,13311,45.6,7544,3172,56,OpenElections,AZ_SOS
2022,2022-11-08,Yavapai,166052,32326,81695,1307,,50724,124863,75.2,103409,21202,252,OpenElections,AZ_SOS
2022,2022-11-08,Yuma,105133,32090,31698,647,,40698,46830,44.5,35009,8659,484,OpenElections,AZ_SOS
2024,2024-11-05,Apache,54060,27343,11856,238,30,14365,32685,60.5,,,,OpenElections,AZ_SOS
2024,2024-11-05,Cochise,82242,19164,32950,662,81,28792,59500,72.3,45265,16219,308,OpenElections,AZ_SOS
2024,2024-11-05,Coconino,90681,35384,23909,723,197,29762,70993,78.3,54646,15817,530,OpenElections,AZ_SOS
2024,2024-11-05,Gila,34653,7972,16935,203,23,9338,27979,80.7,,,,OpenElections,AZ_SOS
2024,2024-11-05,Graham,20714,4391,10718,127,11,5369,15327,74.0,10292,4946,89,OpenElections,AZ_SOS
2024,2024-11-05,Greenlee,4720,1294,1862,47,3,1482,3341,70.8,,,,OpenElections,AZ_SOS
2024,2024-11-05,La Paz,12375,2086,5719,66,11,4355,,,,,,,AZ_SOS
2024,2024-11-05,Maricopa,2587196,739701,917074,19024,2381,888445,2078460,80.3,1822403,252560,3497,OpenElections,AZ_SOS
2024,2024-11-05,Mohave,147549,18747,82271,910,83,44689,111355,75.5,,,,OpenElections,AZ_SOS
2024,2024-11-05,Navajo,69774,22582,27441,383,23,18929,,,,,,,AZ_SOS
2024,2024-11-05,Pima,662357,245471,186711,4571,1012,220377,518466,78.3,442281,72633,3552,OpenElections,AZ_SOS
2024,2024-11-05,Pinal,282639,65633,112598,2120,193,99744,,,,,,,AZ_SOS
2024,2024-11-05,Santa Cruz,31758,13865,5807,148,12,11778,,,,,,,AZ_SOS
2024,2024-11-05,Yavapai,175209,32540,90537,1285,74,49675,150864,86.1,131653,18886,325,OpenElections,AZ_SOS
2024,2024-11-05,Yuma,111666,30363,35703,625,53,44209,68910,61.7,57789,10459,662,OpenElections,AZ_SOS
