year,election_date,election_type,county,school_district,ctds_id,nces_leaid,ccd_lea_name,district,office,candidate,party,total_votes,early_voting,election_day,provisional,winner,num_precincts,lea_letter_grade,num_schools_in_lea,total_enrollment,dropout_rate,num_enrolled,num_dropouts,grad_rate_4yr,num_in_cohort,num_graduated,superintendent,supt_hire_year,supt_gender,prior_supt_experience,prior_admin_experience,prior_principal_experience,internal_vs_external,advanced_degree,supt_tenure_at_election,county_registered_voters,county_dem_registration,county_rep_registration,county_lib_registration,county_other_registration,county_ballots_cast,county_turnout_pct
2014.0,2014-11-04,general,Apache,Alpine Elementary,4161.0,0400630.0,Alpine Elementary District (4161),,ALPINE ELEMENTARY SCHOOL DIST. 7 (ELECT 2),"HOLLIDAY, RICK",,126.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Alpine Elementary,4161.0,0400630.0,Alpine Elementary District (4161),,ALPINE ELEMENTARY SCHOOL DIST. 7 (ELECT 2),"POOLE, RONALD",,50.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Alpine Elementary,4161.0,0400630.0,Alpine Elementary District (4161),,ALPINE ELEMENTARY SCHOOL DIST. 7 (ELECT 2),"SONIVE, LINDA",,304.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Alpine Elementary,4161.0,0400630.0,Alpine Elementary District (4161),,ALPINE ELEMENTARY SCHOOL DIST. 7 (ELECT 2),"WHITE, TOM",,302.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Bd Member St. John USD 1,4153.0,0408080.0,St Johns Unified District (4153),,ST. JOHNS UNIFIED SCHOOL DIST. 1 (ELECT 3),"BELOTE, SIERRA",,1018.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Bd Member St. John USD 1,4153.0,0408080.0,St Johns Unified District (4153),,ST. JOHNS UNIFIED SCHOOL DIST. 1 (ELECT 3),"EISLEY, DAVID",,1218.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Bd Member St. John USD 1,4153.0,0408080.0,St Johns Unified District (4153),,ST. JOHNS UNIFIED SCHOOL DIST. 1 (ELECT 3),"OVERSON, BRENT",,1272.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Bd Member St. John USD 1,4153.0,0408080.0,St Johns Unified District (4153),,ST. JOHNS UNIFIED SCHOOL DIST. 1 (ELECT 3),"PATTERSON, EVE",,1390.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Bd Member St. John USD 1,4153.0,0408080.0,St Johns Unified District (4153),,ST. JOHNS UNIFIED SCHOOL DIST. 1 (ELECT 3),"WHITING, KENNETH",,1108.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Bd Member Vernon ESD 9,4162.0,0400022.0,Vernon Elementary District (4162),,VERNON ELEMENTARY SCHOOL DIST. 9 (ELECT 2),"COOMBS, STEPHEN",,392.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Bd Member Vernon ESD 9,4162.0,0400022.0,Vernon Elementary District (4162),,VERNON ELEMENTARY SCHOOL DIST. 9 (ELECT 2),"HUMPHREY, IRENE M.",,490.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Bd Member Vernon ESD 9,4162.0,0400022.0,Vernon Elementary District (4162),,VERNON ELEMENTARY SCHOOL DIST. 9 (ELECT 2),"HUNSAKER, SEAN",,612.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Bd Member Vernon ESD 9,4162.0,0400022.0,Vernon Elementary District (4162),,VERNON ELEMENTARY SCHOOL DIST. 9 (ELECT 2),"WAGSTAFF, RAY",,292.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Bd Member Vernon ESD 9,4162.0,0400022.0,Vernon Elementary District (4162),,VERNON ELEMENTARY SCHOOL DIST. 9 (ELECT 2),"WILHELM, JOHN",,490.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Concho ESD,4160.0,0402190.0,Concho Elementary District (4160),,CONCHO ELEMENTARY SCHOOL DIST. 6 (ELECT 2),"GILBERTSON, LINDA",,800.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Concho ESD,4160.0,0402190.0,Concho Elementary District (4160),,CONCHO ELEMENTARY SCHOOL DIST. 6 (ELECT 2),"SHOBE, TERRY",,584.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Concho ESD,4160.0,0402190.0,Concho Elementary District (4160),,CONCHO ELEMENTARY SCHOOL DIST. 6 (ELECT 2),"SKOUSEN, CURTIS",,566.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member McNary ESD,4163.0,0404860.0,Mcnary Elementary District (4163),,MC NARY ELEMENTARY SCHOOL DIST. 23 (ELECT 1),"TSO, DELPHINA",,48.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Red Mesa Unified,4159.0,0406870.0,Red Mesa Unified District (4159),,RED MESA UNIFIED SCHOOL DIST. 27 (ELECT 2),"BEGAY, ERNEST HARRY",,2524.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Red Mesa Unified,4159.0,0406870.0,Red Mesa Unified District (4159),,RED MESA UNIFIED SCHOOL DIST. 27 (ELECT 2),"BEN, PEARL",,1166.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Red Mesa Unified,4159.0,0406870.0,Red Mesa Unified District (4159),,RED MESA UNIFIED SCHOOL DIST. 27 (ELECT 2),"JAMES, PAULA",,1350.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Red Mesa Unified,4159.0,0406870.0,Red Mesa Unified District (4159),,RED MESA UNIFIED SCHOOL DIST. 27 (ELECT 2),"SAGGBOY, MARTHA",,1674.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Round Valley USD,4155.0,0407130.0,Round Valley Unified District (4155),,ROUND VALLEY UNIFIED SCHOOL DIST. 10 (ELECT 3),"ELDER, STEVE",,1004.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Round Valley USD,4155.0,0407130.0,Round Valley Unified District (4155),,ROUND VALLEY UNIFIED SCHOOL DIST. 10 (ELECT 3),"ERHART, GREG",,2584.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Round Valley USD,4155.0,0407130.0,Round Valley Unified District (4155),,ROUND VALLEY UNIFIED SCHOOL DIST. 10 (ELECT 3),"HADLOCK, REECE",,1746.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Round Valley USD,4155.0,0407130.0,Round Valley Unified District (4155),,ROUND VALLEY UNIFIED SCHOOL DIST. 10 (ELECT 3),"JORDAN, SHASTA",,1012.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Round Valley USD,4155.0,0407130.0,Round Valley Unified District (4155),,ROUND VALLEY UNIFIED SCHOOL DIST. 10 (ELECT 3),"NEDROW, MARY",,1716.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Round Valley USD,4155.0,0407130.0,Round Valley Unified District (4155),,ROUND VALLEY UNIFIED SCHOOL DIST. 10 (ELECT 3),"STINSON, JEREMY",,1306.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Round Valley USD,4155.0,0407130.0,Round Valley Unified District (4155),,ROUND VALLEY UNIFIED SCHOOL DIST. 10 (ELECT 3),"WEST, STEVE",,1832.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Sanders USD #18,4156.0,0406740.0,Sanders Unified District (4156),,SANDERS UNIFIED SCHOOL DIST. 18 (ELECT 3),"APACHEE, MARLENE S.",,1578.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Sanders USD #18,4156.0,0406740.0,Sanders Unified District (4156),,SANDERS UNIFIED SCHOOL DIST. 18 (ELECT 3),"ASERET, LOMARDO",,1458.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Sanders USD #18,4156.0,0406740.0,Sanders Unified District (4156),,SANDERS UNIFIED SCHOOL DIST. 18 (ELECT 3),"COLLYMORE, KERN",,960.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Sanders USD #18,4156.0,0406740.0,Sanders Unified District (4156),,SANDERS UNIFIED SCHOOL DIST. 18 (ELECT 3),"DAVID, KIRBY",,978.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Sanders USD #18,4156.0,0406740.0,Sanders Unified District (4156),,SANDERS UNIFIED SCHOOL DIST. 18 (ELECT 3),"WATCHMAN, ANITA",,1798.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Sanders USD #18,4156.0,0406740.0,Sanders Unified District (4156),,SANDERS UNIFIED SCHOOL DIST. 18 (ELECT 3),"YAZZIE, JACKIE, JR.",,982.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Window Rock USD #08,4154.0,0409430.0,Window Rock Unified District (4154),,WINDOW ROCK UNIFIED SCHOOL DIST. 8 (ELECT 3),"ASHLEY, FLOYD",,2688.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Window Rock USD #08,4154.0,0409430.0,Window Rock Unified District (4154),,WINDOW ROCK UNIFIED SCHOOL DIST. 8 (ELECT 3),"GUY, LYNNETTE",,2660.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Window Rock USD #08,4154.0,0409430.0,Window Rock Unified District (4154),,WINDOW ROCK UNIFIED SCHOOL DIST. 8 (ELECT 3),"HILLIS, CARL",,3036.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Window Rock USD #08,4154.0,0409430.0,Window Rock Unified District (4154),,WINDOW ROCK UNIFIED SCHOOL DIST. 8 (ELECT 3),"NELSON, LORRAINE W.",,2178.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Apache,Board Member Window Rock USD #08,4154.0,0409430.0,Window Rock Unified District (4154),,WINDOW ROCK UNIFIED SCHOOL DIST. 8 (ELECT 3),"WAUNEKA, BRENDA",,2828.0,,,,,,,,,,,,,,,,,,,,,,,,46181,26351,7267,148,12411,42648,92.3
2014.0,2014-11-04,general,Coconino,PAGE USD #8,4196.0,0405820.0,Page Unified School District #8  (4196),,PAGE USD BOARD MEMBER,"ADDY, CAROL",,2974.0,,,,,,,,,,,,,,,,,,,,,,,,70719,26055,17863,776,26020,75468,106.7
2014.0,2014-11-04,general,Coconino,PAGE USD #8,4196.0,0405820.0,Page Unified School District #8  (4196),,PAGE USD BOARD MEMBER,"CANDELARIA, ROBERT",,3994.0,,,,,,,,,,,,,,,,,,,,,,,,70719,26055,17863,776,26020,75468,106.7
2014.0,2014-11-04,general,Coconino,PAGE USD #8,4196.0,0405820.0,Page Unified School District #8  (4196),,PAGE USD BOARD MEMBER,"MCKERRY, DELORES",,2984.0,,,,,,,,,,,,,,,,,,,,,,,,70719,26055,17863,776,26020,75468,106.7
