year,election_date,county,num_precincts,registered_voters_sos,dem_registration,rep_registration,lib_registration,green_registration,other_registration
2014,2014-11-04,Apache,45,46181,26351,7267,148,,12411
2014,2014-11-04,Cochise,49,68612,18784,25463,431,,23923
2014,2014-11-04,Coconino,71,70719,26055,17863,776,,26020
2014,2014-11-04,Gila,39,29472,9717,11110,160,,8483
2014,2014-11-04,Graham,22,17541,5727,7454,58,,4300
2014,2014-11-04,Greenlee,8,4382,2115,1094,22,,1151
2014,2014-11-04,La Paz,11,9061,2228,3289,39,,3504
2014,2014-11-04,Maricopa,724,1935729,515376,694850,17205,,708000
2014,2014-11-04,Mohave,73,117597,23072,46633,664,,47214
2014,2014-11-04,Navajo,61,56725,22979,17523,366,,15849
2014,2014-11-04,Pima,248,498657,179046,151097,4026,,164431
2014,2014-11-04,Pinal,102,158340,43310,51801,1114,,62100
2014,2014-11-04,Santa Cruz,24,22669,11385,3661,124,,7499
2014,2014-11-04,Yavapai,45,123301,24676,53512,944,,44159
2014,2014-11-04,Yuma,44,76977,25596,22096,512,,28767
2016,2016-11-08,Apache,45,48240,27638,8241,160,53,12148
2016,2016-11-08,Cochise,49,75157,20121,28296,560,147,26033
2016,2016-11-08,Coconino,71,81461,32404,20490,866,292,27409
2016,2016-11-08,Gila,39,29566,9083,12250,178,34,8021
2016,2016-11-08,Graham,22,17806,5449,7961,77,12,4307
2016,2016-11-08,Greenlee,8,4702,2038,1328,30,2,1304
2016,2016-11-08,La Paz,11,8884,2138,3420,34,12,3280
2016,2016-11-08,Maricopa,724,2161716,617685,767484,20654,3697,752196
2016,2016-11-08,Mohave,24,115339,20557,50390,726,141,43525
2016,2016-11-08,Navajo,14,63943,25196,20789,422,63,17473
2016,2016-11-08,Pima,248,544270,206856,163482,4379,1773,167780
2016,2016-11-08,Pinal,102,189462,51049,65453,1500,256,71204
2016,2016-11-08,Santa Cruz,24,26276,13352,4206,146,43,8529
2016,2016-11-08,Yavapai,45,137390,28624,61907,1096,302,45461
2016,2016-11-08,Yuma,44,84254,29133,23917,530,67,30607
2018,2018-11-06,Apache,44,49800,28223,8960,154,47,12416
2018,2018-11-06,Cochise,49,70854,18963,27590,542,110,23649
2018,2018-11-06,Coconino,71,83239,33996,21123,794,279,27047
2018,2018-11-06,Gila,39,29773,8693,12881,179,27,7993
2018,2018-11-06,Graham,22,17906,5164,8330,91,11,4310
2018,2018-11-06,Greenlee,8,4535,1857,1369,32,4,1273
2018,2018-11-06,La Paz,11,10048,2272,4025,39,13,3699
2018,2018-11-06,Maricopa,743,2254596,666835,796075,20970,3605,767111
2018,2018-11-06,Mohave,24,116346,19660,54932,679,136,40939
2018,2018-11-06,Navajo,14,63034,24459,21103,387,79,17006
2018,2018-11-06,Pima,249,557532,214319,165240,4360,1485,172128
2018,2018-11-06,Pinal,102,202079,54115,71998,1581,287,74098
2018,2018-11-06,Santa Cruz,24,28238,14242,4571,148,48,9229
2018,2018-11-06,Yavapai,45,140724,29003,65421,1057,272,44971
2018,2018-11-06,Yuma,44,87457,29944,24714,570,60,32169
2020,2020-11-03,Apache,44,51906,28531,10241,205,,12929
