STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"2024 General Election - November 05, 2024",,,,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,No Labels,,Republican,,Other,,Total,
,,,,,,,,,,,,,,,,,,
Apache,44,,Apr-24,,,"26,432",,,17,228,142,,"10,649",,"13,658",,"51,126",
,44,,P.E. 2024,,,"26,729",,,19,238,203,,"11,176",,"14,027",,"52,392",
,44,,G.E. 2024,,,"27,343",,,30,238,228,,"11,856",,"14,365",,"54,060",
,,,,,,,,,,,,,,,,,,
Cochise,55,,Apr-24,,,"18,093",,,49,656,457,,"30,058",,"26,818",,"76,131",
,55,,P.E. 2024,,,"18,286",,,59,660,521,,"30,864",,"27,695",,"78,085",
,55,,G.E. 2024,,,"19,164",,,81,662,593,,"32,950",,"28,792",,"82,242",
,,,,,,,,,,,,,,,,,,
Coconino,75,,Apr-24,,,"33,542",,,155,720,643,,"22,636",,"27,824",,"85,520",
,75,,P.E. 2024,,,"33,050",,,154,700,648,,"22,397",,"27,402",,"84,351",
,75,,G.E. 2024,,,"35,384",,,197,723,706,,"23,909",,"29,762",,"90,681",
,,,,,,,,,,,,,,,,,,
Gila,39,,Apr-24,,,"7,963",,,14,225,150,,"16,048",,"9,343",,"33,743",
,39,,P.E. 2024,,,"7,765",,,21,207,148,,"15,968",,"9,000",,"33,109",
,39,,G.E. 2024,,,"7,972",,,23,203,182,,"16,935",,"9,338",,"34,653",
,,,,,,,,,,,,,,,,,,
Graham,23,,Apr-24,,,"4,396",,,9,120,70,,"10,140",,"5,474",,"20,209",
,23,,P.E. 2024,,,"4,221",,,10,117,81,,"9,973",,"5,125",,"19,527",
,23,,G.E. 2024,,,"4,391",,,11,127,98,,"10,718",,"5,369",,"20,714",
,,,,,,,,,,,,,,,,,,
Greenlee,6,,Apr-24,,,"1,319",,,2,50,29,,"1,718",,"1,411",,"4,529",
,6,,P.E. 2024,,,"1,290",,,2,51,34,,"1,750",,"1,425",,"4,552",
,6,,G.E. 2024,,,"1,294",,,3,47,32,,"1,862",,"1,482",,"4,720",
,,,,,,,,,,,,,,,,,,
La Paz,11,,Apr-24,,,"2,027",,,4,63,113,,"5,412",,"4,157",,"11,776",
,11,,P.E. 2024,,,"2,014",,,9,65,128,,"5,468",,"4,249",,"11,933",
,11,,G.E. 2024,,,"2,086",,,11,66,138,,"5,719",,"4,355",,"12,375",
,,,,,,,,,,,,,,,,,,
Maricopa,906,,Apr-24,,,"682,927",,,"1,605","18,824","17,325",,"835,409",,"815,384",,"2,371,474",
,906,,P.E. 2024,,,"692,294",,,"1,878","18,837","18,364",,"851,227",,"837,009",,"2,419,609",
,906,,G.E. 2024,,,"739,701",,,"2,381","19,024","20,571",,"917,074",,"888,445",,"2,587,196",
,,,,,,,,,,,,,,,,,,
Mohave,24,,Apr-24,,,"18,146",,,68,907,686,,"76,468",,"43,970",,"140,245",
,24,,P.E. 2024,,,"17,808",,,77,899,765,,"76,534",,"43,215",,"139,298",
,24,,G.E. 2024,,,"18,747",,,83,910,849,,"82,271",,"44,689",,"147,549",
,,,,,,,,,,,,,,,,,,
Navajo,21,,Apr-24,,,"22,290",,,4,386,329,,"25,435",,"18,267",,"66,711",
,21,,P.E. 2024,,,"21,759",,,15,370,349,,"25,530",,"18,184",,"66,207",
,21,,G.E. 2024,,,"22,582",,,23,383,416,,"27,441",,"18,929",,"69,774",
,,,,,,,,,,,,,,,,,,
Pima,278,,Apr-24,,,"238,782",,,779,"4,753","3,728",,"176,166",,"208,247",,"632,455",
,278,,P.E. 2024,,,"234,298",,,865,"4,598","3,881",,"175,517",,"209,155",,"628,314",
,278,,G.E. 2024,,,"245,471",,,"1,012","4,571","4,215",,"186,711",,"220,377",,"662,357",
,,,,,,,,,,,,,,,,,,
Pinal,109,,Apr-24,,,"61,262",,,17,"2,155","2,078",,"101,452",,"94,992",,"261,956",
,109,,P.E. 2024,,,"62,073",,,134,"2,168","2,137",,"104,200",,"97,427",,"268,139",
,109,,G.E. 2024,,,"65,633",,,193,"2,120","2,351",,"112,598",,"99,744",,"282,639",
,,,,,,,,,,,,,,,,,,
Santa Cruz,24,,Apr-24,,,"13,722",,,11,168,119,,"5,188",,"11,470",,"30,678",
,24,,P.E. 2024,,,"13,597",,,12,164,133,,"5,320",,"11,533",,"30,759",
,24,,G.E. 2024,,,"13,865",,,12,148,148,,"5,807",,"11,778",,"31,758",
,,,,,,,,,,,,,,,,,,
Yavapai,57,,Apr-24,,,"31,370",,,21,"1,268",976,,"86,072",,"47,491",,"167,198",
,57,,P.E. 2024,,,"30,958",,,48,"1,238",974,,"86,128",,"47,324",,"166,670",
,57,,G.E. 2024,,,"32,540",,,74,"1,285","1,098",,"90,537",,"49,675",,"175,209",
,,,,,,,,,,,,,,,,,,
Yuma,47,,Apr-24,,,"29,934",,,41,641,684,,"32,131",,"41,138",,"104,569",
,47,,P.E. 2024,,,"29,554",,,41,622,666,,"32,914",,"42,528",,"106,325",
,47,,G.E. 2024,,,"30,363",,,53,625,713,,"35,703",,"44,209",,"111,666",
,,,,,,,,,,,,,,,,,,
Totals:,"1,719",,Apr-24,,,"1,192,205",,,"2,796","31,164","27,529",,"1,434,982",,"1,369,644",,"4,058,320",
,"1,719",,P.E. 2024,,,"1,195,696",,,"3,344","30,934","29,032",,"1,454,966",,"1,395,298",,"4,109,270",
,"1,719",,G.E. 2024,,,"1,266,536",,,"4,187","31,132","32,338",,"1,562,091",,"1,471,309",,"4,367,593",
,,,,,,,,,,,,,,,,,,
Percentages:,,,Apr-24,,,29.38,,,0.07,0.77,0.68,,35.36,,33.75,,,
,,,P.E. 2024,,,29.1,,,0.08,0.75,0.71,,35.41,,33.95,,,
,,,G.E. 2024,,,29,,,0.1,0.71,0.74,,35.77,,33.69,,,
,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,
District,,,,Precincts,Democratic,,,Green,,Libertarian,,No Labels,,Republican,,Other,,Total
,,,,,,,,,,,,,,,,,,
Congressional District 1,,,,,,,,,,,,,,,,,,
Maricopa,,,,206,"144,611",,,426,,"3,775",,"3,553",,"202,808",,"171,441",,"526,614"
Total:,,,,206,"144,611",,,426,,"3,775",,"3,553",,"202,808",,"171,441",,"526,614"
,,,,,,,,,,,,,,,,,,
Congressional District 2,,,,,,,,,,,,,,,,,,
Apache,,,,44,"27,343",,,30,,238,,228,,"11,856",,"14,365",,"54,060"
Coconino,,,,75,"35,384",,,197,,723,,706,,"23,909",,"29,762",,"90,681"
Gila,,,,39,"7,972",,,23,,203,,182,,"16,935",,"9,338",,"34,653"
