STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Page: 1,
"2020 General Election - November 03, 2020",,,,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Libertarian,Republican,Other,,Total,,,,,
,,,,,,,,,,,,,,,,,,
Apache,44,,APR 2020,,,"27,632",,,164,"9,335","11,872",,"49,003",,,,,
,44,,P.E. 2020,,,"27,586",,,174,"9,496","11,923",,"49,179",,,,,
,44,,G.E. 2020,,,"28,531",,,205,"10,241","12,929",,"51,906",,,,,
,,,,,,,,,,,,,,,,,,
Cochise,49,,APR 2020,,,"20,646",,,574,"30,273","24,800",,"76,293",,,,,
,49,,P.E. 2020,,,"20,416",,,610,"30,680","25,089",,"76,795",,,,,
,49,,G.E. 2020,,,"21,521",,,741,"32,944","26,816",,"82,022",,,,,
,,,,,,,,,,,,,,,,,,
Coconino,71,,APR 2020,,,"35,881",,,722,"21,293","24,493",,"82,389",,,,,
,71,,P.E. 2020,,,"35,311",,,728,"21,345","24,584",,"81,968",,,,,
,71,,G.E. 2020,,,"38,601",,,896,"23,816","27,356",,"90,669",,,,,
,,,,,,,,,,,,,,,,,,
Gila,39,,APR 2020,,,"8,890",,,187,"14,305","8,290",,"31,672",,,,,
,39,,P.E. 2020,,,"8,693",,,175,"14,425","8,297",,"31,590",,,,,
,39,,G.E. 2020,,,"8,965",,,208,"16,073","8,755",,"34,001",,,,,
,,,,,,,,,,,,,,,,,,
Graham,22,,APR 2020,,,"5,078",,,97,"9,258","4,808",,"19,241",,,,,
,22,,P.E. 2020,,,"4,978",,,90,"8,913","4,520",,"18,501",,,,,
,22,,G.E. 2020,,,"5,118",,,118,"9,799","4,816",,"19,851",,,,,
,,,,,,,,,,,,,,,,,,
Greenlee,8,,APR 2020,,,"1,758",,,37,"1,609","1,362",,"4,766",,,,,
,8,,P.E. 2020,,,"1,690",,,34,"1,576","1,283",,"4,583",,,,,
,8,,G.E. 2020,,,"1,684",,,43,"1,764","1,375",,"4,866",,,,,
,,,,,,,,,,,,,,,,,,
La Paz,11,,APR 2020,,,"2,322",,,50,"4,560","3,731",,"10,663",,,,,
,11,,P.E. 2020,,,"2,186",,,59,"4,490","3,470",,"10,205",,,,,
,11,,G.E. 2020,,,"2,303",,,71,"4,916","3,619",,"10,909",,,,,
,,,,,,,,,,,,,,,,,,
Maricopa,743,,APR 2020,,,"749,918",,,"21,016","835,561","774,500",,"2,380,995",,,,,
,743,,P.E. 2020,,,"764,774",,,"21,880","849,313","795,062",,"2,431,029",,,,,
,743,,G.E. 2020,,,"814,343",,,"25,025","915,227","840,677",,"2,595,272",,,,,
,,,,,,,,,,,,,,,,,,
Mohave,24,,APR 2020,,,"20,986",,,746,"63,696","42,549",,"127,977",,,,,
,24,,P.E. 2020,,,"20,519",,,759,"64,180","42,064",,"127,522",,,,,
,24,,G.E. 2020,,,"21,648",,,921,"70,310","42,301",,"135,180",,,,,
,,,,,,,,,,,,,,,,,,
Navajo,14,,APR 2020,,,"25,365",,,384,"23,059","17,954",,"66,762",,,,,
,14,,P.E. 2020,,,"25,160",,,393,"23,365","18,064",,"66,982",,,,,
,14,,G.E. 2020,,,"26,448",,,434,"25,084","18,684",,"70,650",,,,,
